created_date,dominant_topic,dominant_topic_keywords,count
2021-04-10,topic3,"like, people, amp, see, need, please, get, know, help, really",408
2021-04-11,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",83
2021-04-10,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",73
2021-04-01,topic3,"like, people, amp, see, need, please, get, know, help, really",399
2021-04-23,topic3,"like, people, amp, see, need, please, get, know, help, really",437
2021-04-13,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",507
2021-04-13,topic3,"like, people, amp, see, need, please, get, know, help, really",355
2021-04-28,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",32
2021-04-24,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",567
2021-04-20,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",59
2021-04-17,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",59
2021-04-01,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",59
2021-04-08,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",602
2021-04-20,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",53
2021-04-13,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",69
2021-04-21,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",649
2021-04-09,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",75
2021-04-18,topic3,"like, people, amp, see, need, please, get, know, help, really",377
2021-04-21,topic3,"like, people, amp, see, need, please, get, know, help, really",373
2021-04-05,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",555
2021-04-01,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",89
2021-04-26,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",43
2021-04-09,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",88
2021-04-25,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",23
2021-04-24,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",332
2021-04-03,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",137
2021-04-27,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",60
2021-04-10,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",82
2021-04-19,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",56
2021-04-25,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",410
2021-04-03,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",79
2021-04-05,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",48
2021-04-19,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",610
2021-04-28,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",51
2021-04-15,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",58
2021-04-11,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",678
2021-04-18,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",612
2021-04-18,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",72
2021-04-25,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",68
2021-04-04,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",111
2021-04-06,topic3,"like, people, amp, see, need, please, get, know, help, really",364
2021-04-16,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",82
2021-04-27,topic3,"like, people, amp, see, need, please, get, know, help, really",387
2021-04-02,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",63
2021-04-29,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",294
2021-04-05,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",256
2021-04-23,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",52
2021-04-12,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",79
2021-04-04,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",784
2021-04-29,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",600
2021-04-06,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",558
2021-04-06,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",323
2021-04-06,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",62
2021-04-11,topic3,"like, people, amp, see, need, please, get, know, help, really",444
2021-04-22,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",85
2021-04-23,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",352
2021-04-18,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",82
2021-04-13,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",74
2021-04-24,topic3,"like, people, amp, see, need, please, get, know, help, really",409
